antname,elevation,x,y
LWA-232,1183.53,-86.78,19.92
LWA-233,1183.34,-64.2,16.08
LWA-234,1183.4,-82.56,7.78
LWA-235,1183.15,-67.62,5.72
LWA-236,1183.22,-76.74,1.64
LWA-237,1183.56,-92.24,-2.24
LWA-238,1183.1,-63.19,-4.3
LWA-239,1183.09,-65.18,-9.71
LWA-240,1183.52,-95.25,-15.38
LWA-241,1183.14,-72,-17.09
LWA-242,1183.28,-80.74,-19.31
LWA-243,1183.41,-84.8,-22.16
LWA-244,1183.03,-68.46,-28.41
LWA-245,1183.46,-98.42,-30.81
LWA-246,1183.31,-87.92,-32.07
LWA-247,1183.09,-81.42,-42.61
LWA-248,1182.96,-75.18,-42.85
LWA-249,1183.09,-81.51,-52.66
LWA-250,1182.72,-68.93,-54.4
LWA-251,1182.85,-71.34,-66.51
LWA-252,1183.77,87.27,250.31
LWA-253,1183.58,-76.46,253.83
LWA-254,1183.67,-211.08,160.4
LWA-255,1184.06,-265.03,5.75
LWA-256,1182.87,-217.77,-151.12
LWA-257,1179.72,-690.78,-258.02
LWA-258,1179.57,-1045.29,339.39
LWA-259,1184.91,-229.25,923.62
LWA-260,1183.18,-588.42,272.5
LWA-261,1185.24,126.34,954.91
LWA-262,1182.5,151.29,-80.21
LWA-263,1182.09,-283.78,-399.57
LWA-264,1184.92,-789.98,849.1
LWA-265,1182.75,-321.89,-52.28
LWA-266,1184.34,-263.75,297.32
LWA-267,1184.37,-9.31,440.56
LWA-268,1184.67,-296.84,370.92
LWA-269,1183.77,137.6,557.63
LWA-270,1181,-675.71,-64.07
LWA-271,1184.64,-335.02,801.02
LWA-272,1182.29,-847.73,413.27
LWA-273,1184.59,-661.73,576.17
LWA-274,1182.93,147.31,99.99
LWA-275,1183.86,314.92,644.91
LWA-276,1184.64,-539.6,571.62
LWA-277,1184.3,123.74,646.65
LWA-278,1184.13,-173.12,685.38
LWA-279,1183.98,353.41,542.79
LWA-280,1179.97,-779.02,28.28
LWA-281,1184.03,-266.74,260.02
LWA-282,1184.48,-158.2,496.07
LWA-283,1179.59,-789.61,-202.85
LWA-284,1183.69,-425.26,121.66
LWA-285,1184.07,-403.26,532.93
LWA-286,1179.24,-1111.55,52.84
LWA-287,1179.9,-999.52,554.51
LWA-288,1181.63,-768.1,379.47
LWA-289,1180.17,-599.23,-640.89
LWA-290,1178.93,-695.78,-439.7
LWA-291,1179.19,-1022.79,245.27
LWA-292,1179.14,-914.12,107.62
LWA-293,1183.24,-57.2,149.91
LWA-294,1183.13,38.66,152.45
LWA-295,1183.39,-549.32,130.29
LWA-296,1181.25,-713.87,233.33
LWA-297,1186.02,69.13,1088.96
LWA-298,1185.65,346.4,1088.42
LWA-299,1182.16,346.79,-357.88
LWA-300,1182.22,395.79,-213.64
LWA-301,1180.57,-509.59,-405.09
LWA-302,1182,-350.43,-648.62
LWA-303,1182.87,-406.19,-271.72
LWA-304,1183.23,-140.62,-70.82
LWA-305,1183.17,-418.64,18.15
LWA-306,1180.92,-538.16,-161.08
LWA-307,1184.17,-248.9,508.73
LWA-308,1184.15,-247.26,617.26
LWA-309,1184.47,-15.47,685.95
LWA-310,1184.45,-58.86,601.79
LWA-311,1184.75,-439.79,339.77
LWA-312,1183.76,-516.22,461.32
